estacao_historica,ano_alvo,papel_serie,cod_estacao,nome_estacao_inmet,distancia_km,status_pareamento,n_horas_esperadas,n_registros_horarios,n_timestamps_unicos,primeira_datahora,ultima_datahora,n_temp_validas,n_ur_validas,n_vel_validas,n_dir_validas,n_press_validas,n_pares_vento_validos,pct_timestamps,pct_temp,pct_ur,pct_vel,pct_dir,pct_press,pct_pares_vento,completude_min_nuclear_pct
CUPE,2021,principal,A301,RECIFE,38.7434579472453,fechado_com_limitacao_temporal_2021,8760,7557,7557,2021-01-01T03:00:00Z,2021-11-11T23:00:00Z,7541,7432,7540,7540,7541,7540,86.2671232876713,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,86.0730593607306,84.8401826484018
CUPE,2021,sensibilidade,A357,PALMARES,65.0191917948857,fechado_com_limitacao_temporal_2021,8760,8760,8760,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,6420,6419,6420,6420,6420,6420,100,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626
Gaibu,2019,principal,A301,RECIFE,30.0048785608036,fechado_com_limitacao_vento,8760,8760,8760,2019-01-01T03:00:00Z,2020-01-01T02:00:00Z,8755,8755,5113,5113,8755,5113,100,99.9429223744292,99.9429223744292,58.3675799086758,58.3675799086758,99.9429223744292,58.3675799086758,58.3675799086758
Gaibu,2019,sensibilidade,A328,SURUBIM,106.563969820775,fechado_com_limitacao_vento,8760,8760,8760,2019-01-01T03:00:00Z,2020-01-01T02:00:00Z,8759,8759,8759,8759,8759,8759,100,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859,99.9885844748859
IFPE,2018,principal,A301,RECIFE,37.320922014816,fechado,8760,8760,8760,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,8292,8292,8290,8290,8292,8290,100,94.6575342465753,94.6575342465753,94.634703196347,94.634703196347,94.6575342465753,94.634703196347,94.634703196347
IFPE,2018,sensibilidade,A328,SURUBIM,102.042384103705,fechado,8760,8760,8760,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,7618,7618,7618,7618,7618,7618,100,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347,86.9634703196347
IPOJUCA,2021,principal,A301,RECIFE,43.1702325218827,fechado_com_limitacao_temporal_2021,8760,7557,7557,2021-01-01T03:00:00Z,2021-11-11T23:00:00Z,7541,7432,7540,7540,7541,7540,86.2671232876713,86.0844748858448,84.8401826484018,86.0730593607306,86.0730593607306,86.0844748858448,86.0730593607306,84.8401826484018
IPOJUCA,2021,sensibilidade,A357,PALMARES,65.7758532771756,fechado_com_limitacao_temporal_2021,8760,8760,8760,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,6420,6419,6420,6420,6420,6420,100,73.2876712328767,73.2762557077626,73.2876712328767,73.2876712328767,73.2876712328767,73.2876712328767,73.2762557077626
IPOJUCA,2025,principal,A357,PALMARES,65.7758532771756,fechado_com_limitacao_espacial,8760,8757,8757,2025-01-01T03:00:00Z,2025-12-31T23:00:00Z,8755,6647,8755,8755,8755,8755,99.9657534246575,99.9429223744292,75.87899543379,99.9429223744292,99.9429223744292,99.9429223744292,99.9429223744292,75.87899543379
IPOJUCA,2025,sensibilidade,A341,CARUARU,111.998823291037,fechado_com_limitacao_espacial,8760,8757,8757,2025-01-01T03:00:00Z,2025-12-31T23:00:00Z,8754,8754,8754,8754,8754,8754,99.9657534246575,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151,99.9315068493151
